id,nome,sobrenome,sexo,pai,mae,nascimento
46,Anna Liz,Pinto,F,0,0,1940-02-19 00:00:00
47,Guilherme,Rodrigues,M,0,0,1940-07-08 00:00:00
48,Ágatha,Rodrigues,F,0,0,1940-03-28 00:00:00
49,Pedro Miguel,Mota Rodrigues,M,47,32,1960-09-09 00:00:00
50,Davi Miguel,Mota Rodrigues,M,47,32,1960-02-24 00:00:00
51,Marcos Vinicius,Mota Rodrigues,M,47,32,1960-01-18 00:00:00
52,João Pedro,Mota Rodrigues,M,47,32,1960-04-26 00:00:00
53,Luigi,Mota Rodrigues,M,47,32,1960-10-12 00:00:00
54,Arthur,Mota Rodrigues,M,47,32,1960-08-17 00:00:00
55,João Guilherme,Mota Rodrigues,M,47,32,1960-05-28 00:00:00
56,Otávio,Mota Rodrigues,M,47,32,1960-04-02 00:00:00
57,Fernanda,Mota Rodrigues,F,47,32,1960-05-25 00:00:00
58,Luna,Mota Rodrigues,F,47,32,1960-03-23 00:00:00
59,Sophia,Mota Rodrigues,F,47,32,1960-05-12 00:00:00
60,Antonella,Mota Rodrigues,F,47,32,1960-01-10 00:00:00
61,Maria Fernanda,Mota Rodrigues,F,47,32,1960-10-12 00:00:00
62,Zoe,Mota Rodrigues,F,47,32,1960-01-18 00:00:00
63,Emilly,Mota Rodrigues,F,47,32,1960-05-21 00:00:00
64,Lara,Mota Rodrigues,F,47,32,1960-01-07 00:00:00
65,Lucca,Pereira Pinto,M,45,14,1960-03-01 00:00:00
66,Davi Luiz,Pereira Pinto,M,45,14,1960-04-22 00:00:00
67,Rodrigo,Pereira Pinto,M,45,14,1960-04-23 00:00:00
68,Caio,Pereira Pinto,M,45,14,1960-04-17 00:00:00
69,Gabriel,Pereira Pinto,M,45,14,1960-02-10 00:00:00
70,Vitor,Pereira Pinto,M,45,14,1960-08-02 00:00:00
71,João Pedro,Pereira Pinto,M,45,14,1960-07-22 00:00:00
72,Lucas Gabriel,Pereira Pinto,M,45,14,1960-01-17 00:00:00
73,Melissa,Pereira Pinto,F,45,14,1960-10-04 00:00:00
74,Maria Liz,Pereira Pinto,F,45,14,1960-06-27 00:00:00
75,Caroline,Pereira Pinto,F,45,14,1960-11-27 00:00:00
76,Marcela,Pereira Pinto,F,45,14,1960-06-14 00:00:00
77,Julia,Pereira Pinto,F,45,14,1960-05-12 00:00:00
78,Ana Carolina,Pereira Pinto,F,45,14,1960-06-03 00:00:00
79,Juliana,Pereira Pinto,F,45,14,1960-12-03 00:00:00
80,Ana Júlia,Pereira Pinto,F,45,14,1960-08-15 00:00:00
81,Luiz Henrique,Rocha Almeida,M,43,26,1960-02-08 00:00:00
82,Vicente,Rocha Almeida,M,43,26,1960-02-25 00:00:00
83,Josué,Rocha Almeida,M,43,26,1960-10-09 00:00:00
84,José,Rocha Almeida,M,43,26,1960-07-20 00:00:00
85,Benício,Rocha Almeida,M,43,26,1960-06-04 00:00:00
86,Enrico,Rocha Almeida,M,43,26,1960-06-07 00:00:00
87,Vinicius,Rocha Almeida,M,43,26,1960-04-22 00:00:00
88,João Miguel,Rocha Almeida,M,43,26,1960-06-05 00:00:00
89,Helena,Rocha Almeida,F,43,26,1960-01-10 00:00:00
90,Mariah,Rocha Almeida,F,43,26,1960-06-01 00:00:00
91,Sophia,Rocha Almeida,F,43,26,1960-07-18 00:00:00
92,Eduarda,Rocha Almeida,F,43,26,1960-06-03 00:00:00
93,Nicole,Rocha Almeida,F,43,26,1960-08-16 00:00:00
94,Maria Isis,Rocha Almeida,F,43,26,1960-09-05 00:00:00
95,Ana Sophia,Rocha Almeida,F,43,26,1960-04-24 00:00:00
96,Letícia,Rocha Almeida,F,43,26,1960-04-18 00:00:00
97,Apollo,Nunes Santos,M,41,12,1960-04-05 00:00:00
98,João Felipe,Nunes Santos,M,41,12,1960-01-24 00:00:00
99,Luiz Otávio,Nunes Santos,M,41,12,1960-06-21 00:00:00
100,Luiz Felipe,Nunes Santos,M,41,12,1960-06-02 00:00:00
101,Anthony,Nunes Santos,M,41,12,1960-04-19 00:00:00
102,Henrique,Nunes Santos,M,41,12,1960-07-07 00:00:00
103,Emanuel,Nunes Santos,M,41,12,1960-11-07 00:00:00
104,Breno,Nunes Santos,M,41,12,1960-10-18 00:00:00
105,Laís,Nunes Santos,F,41,12,1960-11-05 00:00:00
106,Elisa,Nunes Santos,F,41,12,1960-11-08 00:00:00
107,Ana Carolina,Nunes Santos,F,41,12,1960-05-25 00:00:00
108,Rebeca,Nunes Santos,F,41,12,1960-03-12 00:00:00
109,Ana Laura,Nunes Santos,F,41,12,1960-08-11 00:00:00
110,Joana,Nunes Santos,F,41,12,1960-07-28 00:00:00
111,Joana,Nunes Santos,F,41,12,1960-08-22 00:00:00
112,Ana Vitória,Nunes Santos,F,41,12,1960-01-28 00:00:00
113,Theo,Silva Mendes,M,39,28,1960-08-03 00:00:00
114,Théo,Silva Mendes,M,39,28,1960-02-12 00:00:00
115,Vicente,Silva Mendes,M,39,28,1960-05-03 00:00:00
116,Enzo,Silva Mendes,M,39,28,1960-04-02 00:00:00
117,João Gabriel,Silva Mendes,M,39,28,1960-10-19 00:00:00
118,Apollo,Silva Mendes,M,39,28,1960-12-19 00:00:00
119,Luiz Felipe,Silva Mendes,M,39,28,1960-03-27 00:00:00
120,Luiz Gustavo,Silva Mendes,M,39,28,1960-09-08 00:00:00
121,Clara,Silva Mendes,F,39,28,1960-06-05 00:00:00
122,Isabel,Silva Mendes,F,39,28,1960-12-08 00:00:00
123,Catarina,Silva Mendes,F,39,28,1960-02-24 00:00:00
124,Lunna,Silva Mendes,F,39,28,1960-12-11 00:00:00
125,Lívia,Silva Mendes,F,39,28,1960-09-14 00:00:00
126,Elisa,Silva Mendes,F,39,28,1960-03-21 00:00:00
127,Alícia,Silva Mendes,F,39,28,1960-08-21 00:00:00
128,Maria Liz,Silva Mendes,F,39,28,1960-01-02 00:00:00
129,Léo,Freitas Rodrigues,M,37,48,1960-12-25 00:00:00
130,Théo,Freitas Rodrigues,M,37,48,1960-01-06 00:00:00
131,Luiz Otávio,Freitas Rodrigues,M,37,48,1960-12-20 00:00:00
132,Francisco,Freitas Rodrigues,M,37,48,1960-05-26 00:00:00
133,Otávio,Freitas Rodrigues,M,37,48,1960-08-21 00:00:00
134,Ryan,Freitas Rodrigues,M,37,48,1960-11-20 00:00:00
135,Diogo,Freitas Rodrigues,M,37,48,1960-04-08 00:00:00
136,Cauê,Freitas Rodrigues,M,37,48,1960-02-08 00:00:00
137,Valentina,Freitas Rodrigues,F,37,48,1960-05-05 00:00:00
138,Bruna,Freitas Rodrigues,F,37,48,1960-05-03 00:00:00
139,Ana Cecília,Freitas Rodrigues,F,37,48,1960-04-12 00:00:00
140,Cecília,Freitas Rodrigues,F,37,48,1960-03-21 00:00:00
141,Emilly,Freitas Rodrigues,F,37,48,1960-01-22 00:00:00
142,Cecília,Freitas Rodrigues,F,37,48,1960-01-15 00:00:00
143,Ana Sophia,Freitas Rodrigues,F,37,48,1960-07-09 00:00:00
144,Melina,Freitas Rodrigues,F,37,48,1960-01-02 00:00:00
145,Ravy,Carvalho Lima,M,35,30,1960-05-19 00:00:00
146,Luiz Miguel,Carvalho Lima,M,35,30,1960-09-02 00:00:00
147,Levi,Carvalho Lima,M,35,30,1960-08-14 00:00:00
148,Raul,Carvalho Lima,M,35,30,1960-08-01 00:00:00
149,Joaquim,Carvalho Lima,M,35,30,1960-04-07 00:00:00
150,Enzo,Carvalho Lima,M,35,30,1960-05-12 00:00:00
151,Gustavo Henrique,Carvalho Lima,M,35,30,1960-08-15 00:00:00
152,Fernando,Carvalho Lima,M,35,30,1960-01-17 00:00:00
153,Manuella,Carvalho Lima,F,35,30,1960-11-04 00:00:00
154,Lara,Carvalho Lima,F,35,30,1960-02-06 00:00:00
155,Joana,Carvalho Lima,F,35,30,1960-06-10 00:00:00
156,Heloísa,Carvalho Lima,F,35,30,1960-10-05 00:00:00
157,Allana,Carvalho Lima,F,35,30,1960-03-18 00:00:00
158,Lorena,Carvalho Lima,F,35,30,1960-07-25 00:00:00
159,Luna,Carvalho Lima,F,35,30,1960-08-08 00:00:00
160,Ana Beatriz,Carvalho Lima,F,35,30,1960-07-17 00:00:00
161,Fernando,Ribeiro Barbosa,M,33,10,1960-08-09 00:00:00
162,Pedro Lucas,Ribeiro Barbosa,M,33,10,1960-01-04 00:00:00
163,Francisco,Ribeiro Barbosa,M,33,10,1960-09-25 00:00:00
164,Brayan,Ribeiro Barbosa,M,33,10,1960-04-20 00:00:00
165,Augusto,Ribeiro Barbosa,M,33,10,1960-03-18 00:00:00
166,André,Ribeiro Barbosa,M,33,10,1960-08-06 00:00:00
167,Nicolas,Ribeiro Barbosa,M,33,10,1960-02-28 00:00:00
168,Enzo Gabriel,Ribeiro Barbosa,M,33,10,1960-01-13 00:00:00
169,Ana Lívia,Ribeiro Barbosa,F,33,10,1960-07-06 00:00:00
170,Alícia,Ribeiro Barbosa,F,33,10,1960-04-17 00:00:00
171,Gabriela,Ribeiro Barbosa,F,33,10,1960-09-11 00:00:00
172,Ana Liz,Ribeiro Barbosa,F,33,10,1960-12-10 00:00:00
173,Heloísa,Ribeiro Barbosa,F,33,10,1960-01-27 00:00:00
174,Hellena,Ribeiro Barbosa,F,33,10,1960-12-06 00:00:00
175,Ana Laura,Ribeiro Barbosa,F,33,10,1960-05-22 00:00:00
176,Lavínia,Ribeiro Barbosa,F,33,10,1960-06-09 00:00:00
177,Enzo,Freitas Mota,M,31,38,1960-04-27 00:00:00
178,Pedro Lucas,Freitas Mota,M,31,38,1960-01-17 00:00:00
179,João Lucas,Freitas Mota,M,31,38,1960-10-02 00:00:00
180,Marcelo,Freitas Mota,M,31,38,1960-09-22 00:00:00
181,Kevin,Freitas Mota,M,31,38,1960-01-27 00:00:00
182,João Pedro,Freitas Mota,M,31,38,1960-07-21 00:00:00
183,Antônio,Freitas Mota,M,31,38,1960-04-03 00:00:00
184,João Felipe,Freitas Mota,M,31,38,1960-03-17 00:00:00
185,Ana Luiza,Freitas Mota,F,31,38,1960-03-25 00:00:00
186,Luiza,Freitas Mota,F,31,38,1960-11-16 00:00:00
187,Ana Laura,Freitas Mota,F,31,38,1960-01-19 00:00:00
188,Esther,Freitas Mota,F,31,38,1960-07-25 00:00:00
189,Hellena,Freitas Mota,F,31,38,1960-04-05 00:00:00
190,Natália,Freitas Mota,F,31,38,1960-01-20 00:00:00
191,Beatriz,Freitas Mota,F,31,38,1960-11-03 00:00:00
192,Sophia,Freitas Mota,F,31,38,1960-04-17 00:00:00
193,Breno,Vieira Carvalho,M,29,22,1960-09-20 00:00:00
194,Isaac,Vieira Carvalho,M,29,22,1960-03-24 00:00:00
195,Otávio,Vieira Carvalho,M,29,22,1960-09-12 00:00:00
196,Levi,Vieira Carvalho,M,29,22,1960-06-08 00:00:00
197,Alexandre,Vieira Carvalho,M,29,22,1960-11-25 00:00:00
198,Rael,Vieira Carvalho,M,29,22,1960-11-05 00:00:00
199,Vinicius,Vieira Carvalho,M,29,22,1960-05-09 00:00:00
200,Thales,Vieira Carvalho,M,29,22,1960-08-06 00:00:00
201,Alícia,Vieira Carvalho,F,29,22,1960-05-17 00:00:00
202,Maria Eduarda,Vieira Carvalho,F,29,22,1960-04-22 00:00:00
203,Aylla,Vieira Carvalho,F,29,22,1960-01-01 00:00:00
204,Antonella,Vieira Carvalho,F,29,22,1960-03-10 00:00:00
205,Anna Liz,Vieira Carvalho,F,29,22,1960-11-21 00:00:00
206,Bianca,Vieira Carvalho,F,29,22,1960-08-20 00:00:00
207,Clarice,Vieira Carvalho,F,29,22,1960-01-09 00:00:00
208,Luiza,Vieira Carvalho,F,29,22,1960-06-14 00:00:00
209,Vicente,Mendes Sousa,M,27,20,1960-07-12 00:00:00
210,Caleb,Mendes Sousa,M,27,20,1960-04-24 00:00:00
211,Vinícius,Mendes Sousa,M,27,20,1960-04-15 00:00:00
212,Théo,Mendes Sousa,M,27,20,1960-06-22 00:00:00
213,Vitor Hugo,Mendes Sousa,M,27,20,1960-09-10 00:00:00
214,Isaac,Mendes Sousa,M,27,20,1960-11-28 00:00:00
215,Otto,Mendes Sousa,M,27,20,1960-05-07 00:00:00
216,Eduardo,Mendes Sousa,M,27,20,1960-11-21 00:00:00
217,Gabriela,Mendes Sousa,F,27,20,1960-05-23 00:00:00
218,Eloah,Mendes Sousa,F,27,20,1960-06-13 00:00:00
219,Manuella,Mendes Sousa,F,27,20,1960-06-14 00:00:00
220,Julia,Mendes Sousa,F,27,20,1960-06-28 00:00:00
221,Ester,Mendes Sousa,F,27,20,1960-05-10 00:00:00
222,Manuella,Mendes Sousa,F,27,20,1960-12-06 00:00:00
223,Maria Laura,Mendes Sousa,F,27,20,1960-07-28 00:00:00
224,Vitória,Mendes Sousa,F,27,20,1960-02-16 00:00:00
225,Davi Miguel,Rocha Almeida,M,25,44,1960-04-20 00:00:00
226,Yago,Rocha Almeida,M,25,44,1960-01-13 00:00:00
227,Lucas,Rocha Almeida,M,25,44,1960-03-23 00:00:00
228,Henry,Rocha Almeida,M,25,44,1960-09-02 00:00:00
229,Kevin,Rocha Almeida,M,25,44,1960-11-20 00:00:00
230,Anthony Gabriel,Rocha Almeida,M,25,44,1960-07-27 00:00:00
231,Arthur Gabriel,Rocha Almeida,M,25,44,1960-08-22 00:00:00
232,Lucas Gabriel,Rocha Almeida,M,25,44,1960-07-18 00:00:00
233,Ana Laura,Rocha Almeida,F,25,44,1960-11-19 00:00:00
234,Clara,Rocha Almeida,F,25,44,1960-06-09 00:00:00
235,Maria Flor,Rocha Almeida,F,25,44,1960-05-16 00:00:00
236,Maria,Rocha Almeida,F,25,44,1960-01-07 00:00:00
237,Maya,Rocha Almeida,F,25,44,1960-12-27 00:00:00
238,Agatha,Rocha Almeida,F,25,44,1960-11-16 00:00:00
239,Stella,Rocha Almeida,F,25,44,1960-10-27 00:00:00
240,Maitê,Rocha Almeida,F,25,44,1960-03-23 00:00:00
241,Vinicius,Fernandes Gomes,M,23,4,1960-01-21 00:00:00
242,Luiz Henrique,Fernandes Gomes,M,23,4,1960-12-27 00:00:00
243,Benjamin,Fernandes Gomes,M,23,4,1960-09-12 00:00:00
244,Augusto,Fernandes Gomes,M,23,4,1960-06-16 00:00:00
245,Gabriel,Fernandes Gomes,M,23,4,1960-10-19 00:00:00
246,Arthur Gabriel,Fernandes Gomes,M,23,4,1960-01-15 00:00:00
247,Léo,Fernandes Gomes,M,23,4,1960-07-25 00:00:00
248,Anthony,Fernandes Gomes,M,23,4,1960-07-13 00:00:00
249,Sara,Fernandes Gomes,F,23,4,1960-10-17 00:00:00
250,Lunna,Fernandes Gomes,F,23,4,1960-06-08 00:00:00
251,Clara,Fernandes Gomes,F,23,4,1960-05-19 00:00:00
252,Maria Liz,Fernandes Gomes,F,23,4,1960-03-17 00:00:00
253,Stella,Fernandes Gomes,F,23,4,1960-10-17 00:00:00
254,Melissa,Fernandes Gomes,F,23,4,1960-01-24 00:00:00
255,Emilly,Fernandes Gomes,F,23,4,1960-07-19 00:00:00
256,Catarina,Fernandes Gomes,F,23,4,1960-01-22 00:00:00
257,Arthur Miguel,Vieira Santos,M,21,42,1960-09-08 00:00:00
258,Fernando,Vieira Santos,M,21,42,1960-12-17 00:00:00
259,Kaique,Vieira Santos,M,21,42,1960-09-16 00:00:00
260,Dante,Vieira Santos,M,21,42,1960-07-08 00:00:00
261,André,Vieira Santos,M,21,42,1960-12-19 00:00:00
262,Leandro,Vieira Santos,M,21,42,1960-02-01 00:00:00
263,Brayan,Vieira Santos,M,21,42,1960-05-18 00:00:00
264,Miguel,Vieira Santos,M,21,42,1960-07-27 00:00:00
265,Yasmin,Vieira Santos,F,21,42,1960-10-01 00:00:00
266,Lívia,Vieira Santos,F,21,42,1960-09-13 00:00:00
267,Eloá,Vieira Santos,F,21,42,1960-01-23 00:00:00
268,Sophia,Vieira Santos,F,21,42,1960-02-06 00:00:00
269,Helena,Vieira Santos,F,21,42,1960-05-22 00:00:00
270,Aylla,Vieira Santos,F,21,42,1960-04-13 00:00:00
271,Laís,Vieira Santos,F,21,42,1960-11-09 00:00:00
272,Julia,Vieira Santos,F,21,42,1960-07-16 00:00:00
273,José Miguel,Costa Sousa,M,19,16,1960-05-05 00:00:00
274,Henrique,Costa Sousa,M,19,16,1960-08-16 00:00:00
275,Benicio,Costa Sousa,M,19,16,1960-02-05 00:00:00
276,Henry,Costa Sousa,M,19,16,1960-01-02 00:00:00
277,Liam,Costa Sousa,M,19,16,1960-10-17 00:00:00
278,Matheus,Costa Sousa,M,19,16,1960-06-19 00:00:00
279,Luiz Fernando,Costa Sousa,M,19,16,1960-04-06 00:00:00
280,Otto,Costa Sousa,M,19,16,1960-06-23 00:00:00
281,Luara,Costa Sousa,F,19,16,1960-08-27 00:00:00
282,Elisa,Costa Sousa,F,19,16,1960-11-06 00:00:00
283,Ísis,Costa Sousa,F,19,16,1960-11-04 00:00:00
284,Maria Luiza,Costa Sousa,F,19,16,1960-12-26 00:00:00
285,Isabelly,Costa Sousa,F,19,16,1960-11-22 00:00:00
286,Helena,Costa Sousa,F,19,16,1960-01-28 00:00:00
287,Mirella,Costa Sousa,F,19,16,1960-06-08 00:00:00
288,Maria Sophia,Costa Sousa,F,19,16,1960-02-16 00:00:00
289,Rhavi,Oliveira Teixeira,M,17,8,1960-01-10 00:00:00
290,João Gabriel,Oliveira Teixeira,M,17,8,1960-05-18 00:00:00
291,Nathan,Oliveira Teixeira,M,17,8,1960-07-28 00:00:00
292,Diogo,Oliveira Teixeira,M,17,8,1960-03-10 00:00:00
293,José Miguel,Oliveira Teixeira,M,17,8,1960-08-15 00:00:00
294,João Pedro,Oliveira Teixeira,M,17,8,1960-01-20 00:00:00
295,Luiz Henrique,Oliveira Teixeira,M,17,8,1960-04-09 00:00:00
296,Caleb,Oliveira Teixeira,M,17,8,1960-05-10 00:00:00
297,Sarah,Oliveira Teixeira,F,17,8,1960-06-07 00:00:00
298,Fernanda,Oliveira Teixeira,F,17,8,1960-11-08 00:00:00
299,Allana,Oliveira Teixeira,F,17,8,1960-05-10 00:00:00
300,Natália,Oliveira Teixeira,F,17,8,1960-11-05 00:00:00
301,Maitê,Oliveira Teixeira,F,17,8,1960-02-20 00:00:00
302,Maysa,Oliveira Teixeira,F,17,8,1960-08-12 00:00:00
303,Mariane,Oliveira Teixeira,F,17,8,1960-12-09 00:00:00
304,Lunna,Oliveira Teixeira,F,17,8,1960-05-06 00:00:00
305,Liam,Costa Lima,M,15,36,1960-03-08 00:00:00
306,Benício,Costa Lima,M,15,36,1960-07-24 00:00:00
307,Marcos Vinicius,Costa Lima,M,15,36,1960-11-22 00:00:00
308,Erick,Costa Lima,M,15,36,1960-11-19 00:00:00
309,Nicolas,Costa Lima,M,15,36,1960-05-15 00:00:00
310,João Miguel,Costa Lima,M,15,36,1960-12-08 00:00:00
311,Theodoro,Costa Lima,M,15,36,1960-12-08 00:00:00
312,Nicolas,Costa Lima,M,15,36,1960-11-04 00:00:00
313,Ayla,Costa Lima,F,15,36,1960-04-01 00:00:00
314,Isadora,Costa Lima,F,15,36,1960-11-20 00:00:00
315,Bruna,Costa Lima,F,15,36,1960-01-18 00:00:00
316,Isabelly,Costa Lima,F,15,36,1960-04-21 00:00:00
317,Antonella,Costa Lima,F,15,36,1960-11-18 00:00:00
318,Luana,Costa Lima,F,15,36,1960-07-09 00:00:00
319,Natália,Costa Lima,F,15,36,1960-10-04 00:00:00
320,Manuella,Costa Lima,F,15,36,1960-04-23 00:00:00
321,Lucas,Pereira Ribeiro,M,13,34,1960-02-21 00:00:00
322,Kaique,Pereira Ribeiro,M,13,34,1960-09-22 00:00:00
323,Erick,Pereira Ribeiro,M,13,34,1960-07-12 00:00:00
324,João Guilherme,Pereira Ribeiro,M,13,34,1960-03-06 00:00:00
325,Kaique,Pereira Ribeiro,M,13,34,1960-08-07 00:00:00
326,Gael Henrique,Pereira Ribeiro,M,13,34,1960-11-10 00:00:00
327,Augusto,Pereira Ribeiro,M,13,34,1960-05-20 00:00:00
328,Noah,Pereira Ribeiro,M,13,34,1960-08-12 00:00:00
329,Maria Luiza,Pereira Ribeiro,F,13,34,1960-08-02 00:00:00
330,Raquel,Pereira Ribeiro,F,13,34,1960-12-06 00:00:00
331,Maria Helena,Pereira Ribeiro,F,13,34,1960-10-23 00:00:00
332,Isadora,Pereira Ribeiro,F,13,34,1960-04-28 00:00:00
333,Maria Alice,Pereira Ribeiro,F,13,34,1960-03-13 00:00:00
334,Luna,Pereira Ribeiro,F,13,34,1960-04-05 00:00:00
335,Lara,Pereira Ribeiro,F,13,34,1960-03-28 00:00:00
336,Ísis,Pereira Ribeiro,F,13,34,1960-11-17 00:00:00
337,Lucas,Nunes Pinto,M,11,46,1960-11-04 00:00:00
338,Thiago,Nunes Pinto,M,11,46,1960-11-23 00:00:00
339,Ravi Lucca,Nunes Pinto,M,11,46,1960-05-20 00:00:00
340,Arthur Gabriel,Nunes Pinto,M,11,46,1960-01-15 00:00:00
341,Gael Henrique,Nunes Pinto,M,11,46,1960-03-01 00:00:00
342,Bento,Nunes Pinto,M,11,46,1960-11-21 00:00:00
343,Eduardo,Nunes Pinto,M,11,46,1960-11-01 00:00:00
344,Theo,Nunes Pinto,M,11,46,1960-05-25 00:00:00
345,Olívia,Nunes Pinto,F,11,46,1960-06-04 00:00:00
346,Ágatha,Nunes Pinto,F,11,46,1960-10-02 00:00:00
347,Stephany,Nunes Pinto,F,11,46,1960-12-12 00:00:00
348,Olivia,Nunes Pinto,F,11,46,1960-10-22 00:00:00
349,Melissa,Nunes Pinto,F,11,46,1960-01-22 00:00:00
350,Maya,Nunes Pinto,F,11,46,1960-11-24 00:00:00
351,Ana Julia,Nunes Pinto,F,11,46,1960-08-22 00:00:00
352,Maria Sophia,Nunes Pinto,F,11,46,1960-02-06 00:00:00
353,Dom,Oliveira Barbosa,M,9,18,1960-11-10 00:00:00
354,Lucas Gabriel,Oliveira Barbosa,M,9,18,1960-09-07 00:00:00
355,Luiz Fernando,Oliveira Barbosa,M,9,18,1960-11-19 00:00:00
356,Bruno,Oliveira Barbosa,M,9,18,1960-01-18 00:00:00
357,José Pedro,Oliveira Barbosa,M,9,18,1960-04-12 00:00:00
358,Enzo,Oliveira Barbosa,M,9,18,1960-07-12 00:00:00
359,Carlos Eduardo,Oliveira Barbosa,M,9,18,1960-02-10 00:00:00
360,Vitor Gabriel,Oliveira Barbosa,M,9,18,1960-03-01 00:00:00
361,Maria Eduarda,Oliveira Barbosa,F,9,18,1960-03-23 00:00:00
362,Maria Cecília,Oliveira Barbosa,F,9,18,1960-03-12 00:00:00
363,Olívia,Oliveira Barbosa,F,9,18,1960-01-27 00:00:00
364,Amanda,Oliveira Barbosa,F,9,18,1960-02-15 00:00:00
365,Maria Liz,Oliveira Barbosa,F,9,18,1960-07-24 00:00:00
366,Maria Isis,Oliveira Barbosa,F,9,18,1960-12-01 00:00:00
367,Marcela,Oliveira Barbosa,F,9,18,1960-05-01 00:00:00
368,Maria Isis,Oliveira Barbosa,F,9,18,1960-09-01 00:00:00
369,Augusto,Teixeira Silva,M,7,40,1960-02-06 00:00:00
370,João Guilherme,Teixeira Silva,M,7,40,1960-04-02 00:00:00
371,Arthur,Teixeira Silva,M,7,40,1960-02-14 00:00:00
372,Asafe,Teixeira Silva,M,7,40,1960-09-20 00:00:00
373,Pedro Miguel,Teixeira Silva,M,7,40,1960-08-24 00:00:00
374,Bernardo,Teixeira Silva,M,7,40,1960-11-27 00:00:00
375,Benjamim,Teixeira Silva,M,7,40,1960-10-11 00:00:00
376,Emanuel,Teixeira Silva,M,7,40,1960-11-07 00:00:00
377,Maria Sophia,Teixeira Silva,F,7,40,1960-12-26 00:00:00
378,Jade,Teixeira Silva,F,7,40,1960-03-26 00:00:00
379,Isabelly,Teixeira Silva,F,7,40,1960-06-17 00:00:00
380,Ana Julia,Teixeira Silva,F,7,40,1960-12-23 00:00:00
381,Mirella,Teixeira Silva,F,7,40,1960-01-04 00:00:00
382,Laís,Teixeira Silva,F,7,40,1960-01-02 00:00:00
383,Allana,Teixeira Silva,F,7,40,1960-12-21 00:00:00
384,Mariana,Teixeira Silva,F,7,40,1960-08-05 00:00:00
385,Théo,Gomes Moura,M,5,24,1960-02-26 00:00:00
386,Vinicius,Gomes Moura,M,5,24,1960-01-22 00:00:00
387,Caio,Gomes Moura,M,5,24,1960-05-05 00:00:00
388,João Pedro,Gomes Moura,M,5,24,1960-04-11 00:00:00
389,Yan,Gomes Moura,M,5,24,1960-07-14 00:00:00
390,Miguel,Gomes Moura,M,5,24,1960-02-10 00:00:00
391,Otávio,Gomes Moura,M,5,24,1960-04-16 00:00:00
392,Caio,Gomes Moura,M,5,24,1960-06-03 00:00:00
393,Allana,Gomes Moura,F,5,24,1960-02-14 00:00:00
